id;title;description;availability;condition;price;link;image_link;brand
15;axinita;"<p>Axinite</p>\n<p>Weight:1.80ct.</p>\n<p>Size: 8x7mm.</p>\n<p> </p>";"in stock";new;130;https://gemmesterra.com/Botiga/en/home/15-axin01.html;http://gemmesterra.com/Botiga/32/AXINITA.jpg;Gemmesterra
18;cianita;"<p>Kyanite of Nepal</p>\n<p>3,75 ct</p>\n<p> </p>";"in stock";new;90;https://gemmesterra.com/Botiga/en/home/18-cianita.html;http://gemmesterra.com/Botiga/36/CIANITA.jpg;Gemmesterra
19;cianita;"<p>Kyanite</p>\n<p>1.55 ct.</p>";"in stock";new;22;https://gemmesterra.com/Botiga/en/home/19-cianita.html;http://gemmesterra.com/Botiga/38/CIANITA.jpg;Gemmesterra
20;clinohumita;"<p>Clinohumite</p>\n<p>Weight: 2.00ct.</p>\n<p>Size: 9x7mm.</p>\n<p>Russia</p>";"in stock";new;390;https://gemmesterra.com/Botiga/en/home/20-clinohumita.html;http://gemmesterra.com/Botiga/40/CLINOHUMITA.jpg;Gemmesterra
21;sphene;"<p>SPHENE</p>\n<p>Weight: 2.32ct.</p>\n<p>Size: 9x7mm.</p>\n<p>Madagascar</p>\n<p> </p>";"in stock";new;80;https://gemmesterra.com/Botiga/en/home/21-esfena.html;http://gemmesterra.com/Botiga/42/SPHENE.jpg;Gemmesterra
23;spinel;"<p>Faceted spinel.</p>\n<p>Weight: 1.02ct.</p>\n<p>Size: 7x5.4x3.3mm.</p>\n<p>Natural not treated. Tanzania.</p>\n<p>Mixed cut.</p>\n<p> </p>";"in stock";new;120;https://gemmesterra.com/Botiga/en/home/23-espinela.html;http://gemmesterra.com/Botiga/45/SPINEL.jpg;Gemmesterra
24;iolite;"<p>Iolite</p>\n<p>Weight: 1.55ct.</p>\n<p>Size:9x7mm.</p>\n<p>India</p>";"in stock";new;45;https://gemmesterra.com/Botiga/en/home/24-iolita.html;http://gemmesterra.com/Botiga/47/IOLITE.jpg;Gemmesterra
26;labradorite;"<p>Labradorite without treatments.</p>\n<p>Weight: 8.90ct.</p>\n<p>Size: 18x13mm.</p>\n<p>Concave cut. Congo</p>";"in stock";new;68;https://gemmesterra.com/Botiga/en/home/26-labradorita.html;http://gemmesterra.com/Botiga/49/LABRADORITE.jpg;Gemmesterra
31;kyanita;"<p>Kyanite</p>\n<p>2,90 ct</p>\n<p>Nepal</p>";"in stock";new;44;https://gemmesterra.com/Botiga/en/home/31-kyanita.html;http://gemmesterra.com/Botiga/58/KYANITA.jpg;Gemmesterra
32;kyanite;"<p>Kyanite  Nepal</p>\n<p>3,45 ct</p>\n<p>oval cut</p>\n<p>nt treatement</p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/32-kyanite.html;http://gemmesterra.com/Botiga/59/kYANITE.jpg;Gemmesterra
33;necklace of jasper;"<p>Necklace  Jasper</p>\n<pre id=\"tw-target-text\" class=\"tw-data-text vk_txt tw-ta tw-text-medium\" dir=\"ltr\"><span lang=\"en\" xml:lang=\"en\">cotton necklace<br /><br />gem jASPER 20mm<br /><br />no teatrement<br /></span></pre>";"in stock";new;20;https://gemmesterra.com/Botiga/en/home/33-collar-de-jaspe.html;http://gemmesterra.com/Botiga/60/NECKLACE_of_jasper.jpg;Gemmesterra
37;kyanite;"<p><strong>Kyanite Nepal</strong></p>\n<p>2.03<strong> </strong><strong>Ct</strong></p>\n<p><span style=\"font-family:Tahoma;\"><strong>10.3 X 5.8 X 3.7 </strong></span><span style=\"font-family:Tahoma;\"><strong>MM</strong></span></p>\n<p>natural, </p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/37-kyanite.html;http://gemmesterra.com/Botiga/68/KYANITE.jpg;Gemmesterra
39;necklace of jasper;"<p>Necklace  Jasper</p>\n<pre id=\"tw-target-text\" class=\"tw-data-text vk_txt tw-ta tw-text-medium\" dir=\"ltr\"><span lang=\"en\" xml:lang=\"en\">cotton necklace</span></pre>\n<p>no teatrement</p>";"in stock";new;92;https://gemmesterra.com/Botiga/en/home/39-necklace-of-jasper.html;http://gemmesterra.com/Botiga/73/NECKLACE_of_jasper.jpg;Gemmesterra
41;necklace of spectrolite;"<p>Necklace   espectrolite</p>\n<p>longer 39 cm.</p>\n<pre id=\"tw-target-text\" class=\"tw-data-text vk_txt tw-ta tw-text-medium\" dir=\"ltr\">silver</pre>\n<p>no teatrement</p>";"in stock";new;30;https://gemmesterra.com/Botiga/en/home/41-necklace-of-spectrolite.html;http://gemmesterra.com/Botiga/116/NECKLACE_of_SPECTROLITE.jpg;Gemmesterra
44;kyanite;"<p>Kyanite  Nepal</p>\n<p>2,93 ct</p>\n<p>oval cut</p>\n<p>nt treatement</p>";"in stock";new;40;https://gemmesterra.com/Botiga/en/home/44-kyanite.html;http://gemmesterra.com/Botiga/96/kYANITE.jpg;Gemmesterra
45;kyanite;"<p>Kyanite  Nepal</p>\n<p>4,58 ct</p>\n<p>pear cut</p>\n<p>no treatement</p>";"in stock";new;80;https://gemmesterra.com/Botiga/en/home/45-kyanite.html;http://gemmesterra.com/Botiga/98/kYANITE.jpg;Gemmesterra
46;kyanite;"<p>Kyanite  Nepal</p>\n<p>13,04 ct</p>\n<p>emerald cut</p>\n<p>no treatement</p>";"in stock";new;260;https://gemmesterra.com/Botiga/en/home/46-kyanite.html;http://gemmesterra.com/Botiga/100/kYANITE.jpg;Gemmesterra
47;kyanite;"<p>Kyanite  Nepal</p>\n<p>5 pieces</p>\n<p>3,45 ct total</p>\n<p>cut navette</p>\n<p>no treatement</p>";"in stock";new;45;https://gemmesterra.com/Botiga/en/home/47-kyanite.html;http://gemmesterra.com/Botiga/102/kYANITE.jpg;Gemmesterra
50;necklace of mandarin garnet;"<p>Necklace  of mandarin garnet</p>\n<p>Silver closure</p>\n<p>no treatment</p>\n<p>Long necklace 44cm.</p>\n<p>Necklace of faceted beads in up in size untill center. Beads from 3,5 x 2mm a 7x5mm</p>";"in stock";new;186;https://gemmesterra.com/Botiga/en/home/50-necklace-of-mandarin-garnet.html;http://gemmesterra.com/Botiga/124/NECKLACE_of_MANDARIN_GARNET.jpg;Gemmesterra
51;necklace of  pink andean opal;"<p>Necklace  of pink andean opal</p>\n<p>Silver closure</p>\n<p>no treatment</p>\n<p>Long necklace 40cm.</p>\n<p>Necklace of 8mm. balls.</p>";"in stock";new;44;https://gemmesterra.com/Botiga/en/home/51-necklace-of-pink-andean-opal.html;http://gemmesterra.com/Botiga/136/NECKLACE_of__PINK_ANDEAN_OPAL.jpg;Gemmesterra
55;pendant rutilated quartz  and silver;"<p>Pendant rutilated quartz and silver.</p>\n<p>Size quartz 12 mm.</p>\n<p>cotton.</p>";"in stock";new;42;https://gemmesterra.com/Botiga/en/home/55-pendant-rutilated-quartz-and-silver.html;http://gemmesterra.com/Botiga/169/PENDANT_RUTILATED_QUARTZ__AND_SILVER.jpg;Gemmesterra
56;pendant jet and opal;"<p>Pendant jet and opal (Intarsia)</p>\n<p>Jet 27x27x7mm</p>\n<p>Opal 10x12mm</p>\n<p>No treated</p>";"in stock";new;80;https://gemmesterra.com/Botiga/en/home/56-pendant-jet-and-opal.html;http://gemmesterra.com/Botiga/163/PENDANT_JET_AND_OPAL.jpg;Gemmesterra
61;pendant silver and garnets;"<p>Pendant in silver with garnets.</p>\n<p>Size 70 x 45 mm.</p>\n<p>cotton.</p>";"in stock";new;110;https://gemmesterra.com/Botiga/en/home/61-pendant-silver-and-garnets.html;http://gemmesterra.com/Botiga/178/PENDANT_SILVER_AND_GARNETS.jpg;Gemmesterra
63;cinta stone;"<p>Cinta s stone cab. Round.</p>\n<p>Size 46mm.</p>\n<p>No treated.</p>\n<p>From Tortosa (Tarragona) Spain.</p>";"in stock";new;62;https://gemmesterra.com/Botiga/en/home/63-cinta-stone.html;http://gemmesterra.com/Botiga/177/CINTA_STONE.jpg;Gemmesterra
64;inca stone;"<p>Pedra Inca cab (Inca stone)</p>\n<p>(Chalcedony with copper)</p>\n<p>No treated.</p>\n<p>Size 42mm.</p>\n<p>Bolivia.</p>\n<p> </p>";"in stock";new;76;https://gemmesterra.com/Botiga/en/home/64-inca-stone.html;http://gemmesterra.com/Botiga/176/INCA_STONE.jpg;Gemmesterra
65;serpentine;"<p>Cab of serpentine.</p>\n<p>Oval.</p>\n<p>No treated.</p>\n<p>Size 24X20X3.5mm.</p>\n<p>Málaga.</p>\n<p> </p>";"in stock";new;26;https://gemmesterra.com/Botiga/en/home/65-serpentine.html;http://gemmesterra.com/Botiga/182/SERPENTINE.jpg;Gemmesterra
66; turquoise, natural;"<p>Cab of natural turquoise. Round.</p>\n<p>The turquoise is  natural, untreated in any way.</p>\n<p>Arizona, Sleeping Beauty.</p>\n<p>Weight:3,1ct.</p>\n<p>Size: 13X3mm.</p>";"in stock";new;31;https://gemmesterra.com/Botiga/en/home/66--turquoise-natural.html;http://gemmesterra.com/Botiga/186/_TURQUOISE;Gemmesterra
67;charoite;"<p>Charoite stone cab.</p>\n<p>19.50ct.</p>\n<p>Size 23x15.5x5mm.</p>\n<p>No treated.</p>\n<p>Russia.</p>";"in stock";new;23;https://gemmesterra.com/Botiga/en/home/67-charoite.html;http://gemmesterra.com/Botiga/188/CHAROITE.jpg;Gemmesterra
69;inca stone;"<p>Pedra Inca cab (Inca stone)</p>\n<p>(Chalcedony with copper)</p>\n<p>No treated.</p>\n<p>Weight: 11.30ct Size: 20mm.</p>\n<p>Bolivia.</p>\n<p> </p>";"in stock";new;18;https://gemmesterra.com/Botiga/en/home/69-inca-stone.html;http://gemmesterra.com/Botiga/189/INCA_STONE.jpg;Gemmesterra
71;cinta stone;"<p>Cinta s stone cab. Round.</p>\n<p>Size: 56x18x2,5mm.</p>\n<p>No treated.</p>\n<p>From Tortosa (Tarragona) Spain.</p>";"in stock";new;45;https://gemmesterra.com/Botiga/en/home/71-cinta-stone.html;http://gemmesterra.com/Botiga/190/CINTA_STONE.jpg;Gemmesterra
