ID;Description
51;<p >Opal</p><p >El nom deriva del Sanskrit per a pedra.</p><p >Des de l'època romana als inicis del segle XVII va ser tingut en gran estima. Durant els segles XVIII i XIX va ser força oblidat en creure que aquesta pedra portava mala sort.</p><p >Alguns diuen que la seva mala fama es va originar a la novel·la de Walter Scott anomenada "Anne of Geierstein".</p><p>SiO2+ H2O</p>
55;<div>Quars</div><div><br></div><div>És el mineral més comú de l'escorça terrestre després del feldspat</div><div><br></div><div>S'ha suggerit que el seu nom prové de l'alemany que deriva de la paraula en antic eslau per dur.</div><div><br></div><div>La paraula del grec antic per a quars, krystalls, va donar origen a la paraula vidre.</div><div><br></div><div>El quars ocorre en 2 formes bàsiques: Quars macrocristal·lí: està fet de vidres visibles o grans. Exemples: vidre de roca, gres, també quars massiu compost per vidres sense cares de vidre. Quars microcristal·lí: Aquest fet d'agregats densos i compactes de quars microscòpic. Els diferents tipus de quars microcristal·lí són subsumits al terme calcedònia. Exemples: Agata, Sílex...</div>
85;<div>Turquesa</div><div><br></div><div>La Turquesa és una de les gemmes, a les quals moltes cultures, des del principi dels temps, li han donat molta importància.</div><div><br></div><div>La turquesa és una de les pedres més utilitzades en diferents cultures amb fins ornamentals, màgics i de poder. És una pedra usada des de la prehistòria a gairebé tot el món, destaquen les cultures d'Egipte, del Tibet i la Xina, dels Indis Americans, de l'Orient Mitjà.</div><div><br></div><div>La turquesa de qualitat és de les gemmes més difícils d'aconseguir amb garanties d'autenticitat. Com que la turquesa es va posar de moda als 60' i 70' es van esgotar molts dels jaciments americans i es va posar en marxa una autèntica indústria dedicada a la estabilització i reconstitució de la turquesa (en el millor dels casos).</div><div><br></div><div>La turquesa que no és de qualitat suficient es tenyeix i s'endureix amb impregnació de plàstics. En el mercat actual és molt difícil distingir la turquesa natural de què setracta per diversos mètodes; d'altra banda, una multitud de símils i imitacions tracten d'enganyar l'usuari.</div><div><br></div><div>En l'actualitat els jaciments en explotació més importants són a USA, i la Xina, també s'extreu a Mèxic, Iran, a més d'altres petits jaciments molt repartits pel món (Perú, Nepal, Mongòlia, Turkmenistan etc.)</div>
103;<div>La paraula deriva de l'àrab anbar "عنبر" - el que sura al mar.</div><div><br></div><div>Els noms clàssics per a l'ambar, Latin electrum i grec ἤλεκτρον "ēlektron", connectats al terme ἠλέκτωρ "ēlektōr" - sol radiant.</div><div><br></div><div>Segons el mite, quan Phaëton, el fill d'Helios (el sol) va ser assassinat, les seves germanes en dol es van convertir en Àlbers, i les seves llàgrimes en "elektron", ambar. La paraula "elektron" va servir com a base per a paraules com "electric", electricitat... Ja que els grecs es van adonar de les propietats elèctriques de l'ambar producias en fregar-ho amb altres objectes. (Electricitat estàtica).</div>
105;<div>La paraula deriva de l'àrab anbar "عنبر" - el que sura al mar.</div><div><br></div><div>Els noms clàssics per a l'ambar, Latin electrum i grec ἤλεκτρον "ēlektron", connectats al terme ἠλέκτωρ "ēlektōr" - sol radiant.</div><div><br></div><div>Segons el mite, quan Phaëton, el fill d'Helios (el sol) va ser assassinat, les seves germanes en dol es van convertir en Àlbers, i les seves llàgrimes en "elektron", ambar. La paraula "elektron" va servir com a base per a paraules com "electric", electricitat... Ja que els grecs es van adonar de les propietats elèctriques de l'ambar producias en fregar-ho amb altres objectes. (Electricitat estàtica).</div>
107;<div>La paraula deriva de l'àrab anbar "عنبر" - el que sura al mar.</div><div><br></div><div>Els noms clàssics per a l'ambar, Latin electrum i grec ἤλεκτρον "ēlektron", connectats al terme ἠλέκτωρ "ēlektōr" - sol radiant.</div><div><br></div><div>Segons el mite, quan Phaëton, el fill d'Helios (el sol) va ser assassinat, les seves germanes en dol es van convertir en Àlbers, i les seves llàgrimes en "elektron", ambar. La paraula "elektron" va servir com a base per a paraules com "electric", electricitat... Ja que els grecs es van adonar de les propietats elèctriques de l'ambar producias en fregar-ho amb altres objectes. (Electricitat estàtica).</div>
108;<div>La paraula deriva de l'àrab anbar "عنبر" - el que sura al mar.</div><div><br></div><div>Els noms clàssics per a l'ambar, Latin electrum i grec ἤλεκτρον "ēlektron", connectats al terme ἠλέκτωρ "ēlektōr" - sol radiant.</div><div><br></div><div>Segons el mite, quan Phaëton, el fill d'Helios (el sol) va ser assassinat, les seves germanes en dol es van convertir en Àlbers, i les seves llàgrimes en "elektron", ambar. La paraula "elektron" va servir com a base per a paraules com "electric", electricitat... Ja que els grecs es van adonar de les propietats elèctriques de l'ambar producias en fregar-ho amb altres objectes. (Electricitat estàtica).</div>
116;<p>Turmalina</p><p >Tot i que es coneixia des de l'antiguitat a la regió Mediterrània, els Neerlandesos van començar a importar-les el 1703 des de Sri Lanka. Li van posar el nom Sinhalese "Turamali" - pedra amb colors barrejats.</p><p >Un tret molt característic de la turmalina és la promptitud amb què s'electrifica. Escalfant i subsegüentment refredant, així com aplicant pressió, p.e. en fregar, un cristall de turmalina es carregarà elèctricament. Després atraurà partícules de pols i petits trossos de paper (pir i piezoelectricitat).</p><p >(Ca,K,Na)(Al,Fe,Li,Mg,Mn)3 (Al,Cr,Fe,V)6(BO3)3(Si,Al,B)6O18(OH,F)</p>
128;<p >Opal</p><p >El nom deriva del Sanskrit per a pedra.</p><p >Des de l'època romana als inicis del segle XVII va ser tingut en gran estima. Durant els segles XVIII i XIX va ser força oblidat en creure que aquesta pedra portava mala sort.</p><p >Alguns diuen que la seva mala fama es va originar a la novel·la de Walter Scott anomenada "Anne of Geierstein".</p><p>SiO2+ H2O</p>
132;<p >Opal</p><p >El nom deriva del Sanskrit per a pedra.</p><p >Des de l'època romana als inicis del segle XVII va ser tingut en gran estima. Durant els segles XVIII i XIX va ser força oblidat en creure que aquesta pedra portava mala sort.</p><p >Alguns diuen que la seva mala fama es va originar a la novel·la de Walter Scott anomenada "Anne of Geierstein".</p><p>SiO2+ H2O</p>
