Mi752,Estaurolita 14.57gr
Mi751,Turmalina 8.30ct
Mi750,Turmalina 6.50ct
Mi749,Zafiro 29.10ct
F748,Espinela 0.85ct
F747,Kunzita 4.65ct
Mi741,Rutil 26.20ct
F746,Zafiro 0.69ct
F745,Amatista 3.30ct
F744,Amatista 3.80ct
F743,Amazonita 13.80ct
F742,Opalo de fuego 1.10ct
MI740,"Pirita 22,40ct"
F736,"Peridoto 2,70ct (2u)"
C617,Apatito 26ct
F730,Granate 1
F728,"Granate tsavorita 0,25 (2u)"
J735,Colgante Obsidiana nevada
J734,Colgante Larvikita
J733,Colgante Sodalita
J732,Colgante Amazonita
J731,Colgante Howlita
J729,Colgante Rodocrosita
F727,"Amatista 5,95"
F726,"Amatista 5,30"
C725,"Rubí 13,90"
F716,Rubí 2.20
F724,Aguamarina 6.40ct
F723,Esmeralda 0.20ct
F722,Opalo de fuego 1.01ct
F721,Esmeralda 0.40ct
F720,Zafiro 0.57ct
F719,Zafiro 0.55ct
F718,Zafiro 0.78ct
F717,Zafiro 0.95ct
F715,"Amatista 3,60"
F714,"Amatista 8,10ct"
C713,Jade jadeita 25ct
C712,"Jade jadeita 7,00ct"
C711,"Jade jadeita 8,40ct"
C710,"Jade jadeita 13,40ct"
F709,Zafiro 1.56ct
F708,Turmalina 3.41ct
F707,Aguamarina 1.91ct
F706,Aguamarina 7.77ct
F705,Aguamarina 5.89 ct
F704,Andesina 5.27 ct
F703,Granate 7.98 ct
F702,Prehnita 3.51 ct
F656,Esfalerita 6.45ct
F701,Andesina 4.62ct
F700,Zafiro 0.59ct
J696,lava 5.50gr
F699,Espinela 1.05ct
F698,Espinela 1ct
F697,Turmalina 0.95ct
J695,"Peridoto 5,5gr"
C694,Jade jadeita 9.80ct
F693,Andesina 3.81ct
Mi692,Rodocrosita 12.70gr
F691,Esfalerita 10.50ct
F690,Esfalerita 7.40ct
F689,Forsterita 0.33ct
F688,Ortoclasa 2.81ct
F687,Turmalina 1.05ct
F685,Esfena 1.87ct
F686,Fluorita 1.41ct
Mi674,Ambar 0.62gr
F684,Granate 1.59ct
Mi683,Ambar 2.16gr
F682,Granate 1.18ct
F681,Espinela 2.08ct
Mi680,Turquesa 6.60gr
Mi679,Turquesa 4.84gr
Mi678,Turquesa 7.84gr
Mi677,Turquesa 3.94gr
Mi676,Ambar 1.40gr
Mi675,Ambar 3.83gr
Mi673,Ambar 5.95gr
Mi672,Ambar 2.09gr
Mi671,Ambar 1.64gr
Mi670,Ambar 2.33gr
Mi669,Ambar 2.75gr
Mi668,Quiastolita 123gr
Mi667,Quiastolita 98.75 gr
F659,Zircon 2.10
F658,CIANITA 1.05
C657,Esmeralda 2
F655,ESPINELA 1
F651,Zircon 1.45
F654,KUNCITA 3.90
F653,ESPINELA 1.25
F652,Turmanlina 0.5
F650,Rubi 0.90
C649,Turquesa 3.80
C648,Turmalina 2.40
F647,Zircon 1
F646,ESPINELA 1.70
F663,ORTOCLASA
F665,TURMALINA
C664,APATITO
F666,TURMALINA
F662,ORTHOCLAS
F661,ORTHOCLAS
F660,PRENITA
R641,CUARZO CITRINO 10.10
F640,CUARZO CITRINO 6
F639,CUARZO CITRINO 4.70
F638,CUARZO CITRINO 9.95
F637,DIÁSPORO 2.10
F636,PERIDOTO 1.20
F635,"GRANATE HESONITA 2,32"
F634,"GRANATE HESONITA 1,4"
C633,ALEJANDRITA 1 CT
F632,"GRANATE COLOR CAMBIO 1,73"
F631,GARNET COLOR CHANGE
F630,"TRIPLITA 0,88"
F629,"GRANATE MALAYA 0,96"
F628,"TRIPLITE 0,93"
f627,SILIMANITA  1.76
F626,"FLUORITA 2,23"
F625,"ZAFIRO 0,77"
